id,msbase,ms1800,ms1815,ms1830,ms1845,ms1900,ms1915,ms1930,ms1945,ms2000,ms2015,ms2030,ms2045,ms2100,ms2115,speedlimit
1,23,,,,,,14,,,,,19,,,,20
2,17,,,,,,,,,,22,,,,,20
3,2,,,,,,,,,,,,,,,20
4,,,,,,,,,,,,,,,,20
5,46,,50,55,51,,,,,,,45,,,,50
6,57,,,56,,,81,,,35,37,,,,,50
7,49,,,52,,,72,,,35,56,,,,,50
8,14,,,,,,,,,,,13,,,,20
9,17,,,,,,,,,,,18,,,,20
10,27,,,,,,,,,,,,,,,20
11,24,,,,27,,,,,,,,,,,20
12,17,,,,,,,,,,,,,,,20
13,17,,,,,,,,,,,,,,,20
14,43,,,55,,,55,,,35,,,,,59,50
15,,,,,,,,,,,,,,,,20
16,,,,,,,,,,,,,,,,20
17,36,,50,60,53,,,,,,,21,,,,50
18,21,,,,,,8,,,,,,,,,20
19,22,,,,,,,,,,22,,,,,20
20,19,,,,,,,,,,,,,,,20
21,22,,,,,,,,,,,,,,,20
22,25,,,,,,,,,,23,,,,,20
23,22,,,,,,11,,,,,13,,,,20
24,,,,,,,,,,,,,,,,20
25,18,,,,,,,,,,,,,,,20
26,,,,,,,,,,,,,,,22,20
27,15,,,,,,,,,,,,,,,20
28,22,,,,,,,,,,,,,,,20
29,,,,,,,,,,,,,,,,20
30,21,,,,,,,,,,,,,,,20
31,,,,,,,,,,,,,,,,20
32,22,,,,,,,,,,22,,,,,20
33,26,,,,,,24,,,,,24,,,,20
34,17,,,,,,,,,,,,,,19,20
35,23,,,,,,,,,,,,,,,20
36,,,,,,,,,,,,,,,,20
37,,,,,,,,,,,,,,,,20
38,,,,,,,,,,,,,,,,20
39,,,,,,,,,,,,,,,,20
40,56,6,,52,,,63,,,35,,,,,61,50
41,,10,,17,,,,,,,,,,,,20
42,17,,,,,,,,,,,,,,,20
43,46,,50,61,54,,,,,,,,,,,50
44,24,11,,17,,,,,,,,,,,,20
45,17,,,,25,,,,,,,,,,,20
46,,,,,,,,,,,,,,,,20
47,,,,,,,,,,,,,,,,20
48,,,,,,,,,,,,,,,,20
49,,,,,,,,,,,,,,,,20
50,,,,,,,,,,,,,,,,20
51,,,,,,,,,,,,,,,,20
52,,,,,,,,,,,,,,,,20
53,20,,,,24,,,,,,,,,,,20
54,29,16,,4,,,,,,,,,,,,20
55,,47,,,,,,,,,,,,,,20
56,,,,,,,,,,,,,,,,20
57,,,,,,,,,,,,,,,,20
58,,,,,,26,,,,,,,,,,20
3578,,,,,,,,,,,,,,,,20
59,,,,,,,,,,,,,,,,20
60,28,122,,32,32,40,39,37,8,35,31,38,,,36,50
61,,,,,,,,,,,,,,,,35
62,36,5,7,13,39,,,7,,34,41,29,,,,50
63,55,,,,,,,,,,,,,,,35
64,106,,,,,,,,,,,,,,,35
65,34,41,31,,,24,,39,39,,,,,,36,50
66,41,5,7,9,39,,,5,,34,41,33,,,,50
67,90,89,88,88,88,91,90,85,84,103,89,93,89,94,97,100
68,34,36,,33,39,40,43,38,45,39,43,41,,,39,50
69,,,,,,,,,,,,,,,,35
70,,122,,,,,,,,,,,,,,35
71,42,38,22,23,48,53,,40,46,49,50,50,41,,50,50
72,21,26,31,29,39,30,31,30,15,43,35,40,37,,35,50
73,38,47,40,33,49,39,40,42,46,47,49,43,37,,46,50
74,,,,,,,,,,,,,,,,20
75,15,,,,,,,,,,,,,,,20
76,27,,,,,,,,,,,,,,,20
77,,,,,,,,,,,,,,,,20
78,96,9,28,14,18,30,92,97,97,93,95,97,100,100,97,100
79,36,29,33,27,51,37,,51,39,35,41,38,,,37,50
80,40,43,,33,45,41,50,39,46,46,49,45,,,48,50
81,96,9,27,15,18,30,90,98,96,90,95,97,98,99,97,100
82,18,,,,,,,,,,,,,,,20
83,9,24,,,,,,,,,,,,,,20
84,96,9,18,10,25,27,89,100,95,88,95,99,98,99,91,100
85,28,25,,,,,,,,,,,,,,20
86,,,,,,,,,,,,,,,,20
87,,,,,,,,,,,,,,,,20
88,,,,,,,,,,,,,,,,20
89,41,40,38,46,63,48,,51,39,43,48,42,,,40,50
90,89,90,88,88,83,89,90,87,94,104,91,91,88,91,126,100
91,28,,,,,,,,,,,,,,,20
92,,,,,,,,,,,,,,,,20
93,88,92,88,88,84,88,91,86,94,104,91,92,89,91,126,100
94,88,91,88,87,84,93,91,86,94,104,91,92,89,91,126,100
95,36,45,,35,46,41,49,37,38,44,49,43,,,42,50
96,,,,,,,,,,,,,,,,20
97,,,,,,,,,,,,,,,,20
98,21,21,,,,,,,,29,,,,,,20
99,23,,,,,,,,,,,,,,,20
